"id","bucket_id","name","owner","created_at","updated_at","last_accessed_at","metadata","path_tokens","version","owner_id","user_metadata"
"55ac3fb0-d31a-487c-8a1d-c23a013ab287","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596534-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:18.516421+00","2025-01-04 06:08:18.516421+00","2025-01-04 06:08:18.516421+00","{""eTag"":""\""2fc53421833ab1efe481168f09148ca3\"""",""size"":203089,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:19.000Z"",""contentLength"":203089,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596534-1620x1080.jpg""]","fdc00992-b119-476c-9b05-af1702333186","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"985fa741-feeb-4f58-9f5c-2ea041e64715","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596535-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:19.465292+00","2025-01-04 06:08:19.465292+00","2025-01-04 06:08:19.465292+00","{""eTag"":""\""9d44f36c7052f2a85b7113cc1a44337e\"""",""size"":205596,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:20.000Z"",""contentLength"":205596,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596535-1620x1080.jpg""]","882fd726-a44d-4f51-beab-8062b719c848","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"3dfc40c1-d2a7-4552-b113-f03d15d73fb0","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596537-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:20.404929+00","2025-01-04 06:08:20.404929+00","2025-01-04 06:08:20.404929+00","{""eTag"":""\""fc43dd142dd0c45fd1e918acbc61f116\"""",""size"":225600,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:21.000Z"",""contentLength"":225600,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596537-1620x1080.jpg""]","6248ef16-a246-4378-aaad-281b1c371fbb","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"9bfda3ff-ca13-448c-87a2-f977e16054da","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596539-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:21.37867+00","2025-01-04 06:08:21.37867+00","2025-01-04 06:08:21.37867+00","{""eTag"":""\""3664fecd87f4f49bd09971bfb8d89d53\"""",""size"":341006,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:22.000Z"",""contentLength"":341006,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596539-1620x1080.jpg""]","3298632d-063a-44d6-9bb4-27526613e040","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"640d8dc8-37aa-499d-ab4f-b30f502cd965","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596540-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:22.48787+00","2025-01-04 06:08:22.48787+00","2025-01-04 06:08:22.48787+00","{""eTag"":""\""1b8954806c3bf93f8d115141ee323699\"""",""size"":340243,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:23.000Z"",""contentLength"":340243,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596540-1620x1080.jpg""]","85920db9-9c85-4e3e-a43a-a26d8caff209","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"6a39d68c-58be-4882-99a4-e01535a38387","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596541-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:23.4754+00","2025-01-04 06:08:23.4754+00","2025-01-04 06:08:23.4754+00","{""eTag"":""\""b8d3e8c37007e4399e7cbedf4ecf1e93\"""",""size"":217291,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:24.000Z"",""contentLength"":217291,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596541-1620x1080.jpg""]","107f40ed-fd9f-4c72-bc9e-0adba63a5316","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"a71179de-cf0f-4dfe-b7b2-35c48c88bda7","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/gallery/4247018-596542-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:08:24.517991+00","2025-01-04 06:08:24.517991+00","2025-01-04 06:08:24.517991+00","{""eTag"":""\""708bd52c437a4ed8a21bd10ade8c1e57\"""",""size"":220006,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:08:25.000Z"",""contentLength"":220006,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""gallery"",""4247018-596542-1620x1080.jpg""]","39036f7a-00f5-4c55-b2f9-5de651b3edbb","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"5f4c5343-1811-4628-ab1e-26520dbfa253","property-assets","144e229e-34c9-4fa9-bb16-cfdc0dd0937a/gallery/06.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-05 06:38:27.987813+00","2025-01-05 06:38:27.987813+00","2025-01-05 06:38:27.987813+00","{""eTag"":""\""3c6a92dd292452dd625ff54e7284e7bd\"""",""size"":91997,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-05T06:38:28.000Z"",""contentLength"":91997,""httpStatusCode"":200}","[""144e229e-34c9-4fa9-bb16-cfdc0dd0937a"",""gallery"",""06.jpg""]","285ba987-d063-46df-aee7-f1706e502a14","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"38e47a2d-e828-4500-9e0e-e1c0255620e2","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/your_home/4247018-596528-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:10:57.235815+00","2025-01-04 06:10:57.235815+00","2025-01-04 06:10:57.235815+00","{""eTag"":""\""b326423ba5fb2964711f4b93691bc3ed\"""",""size"":208736,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:10:58.000Z"",""contentLength"":208736,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""your_home"",""4247018-596528-1620x1080.jpg""]","4286b69a-9216-4d1b-b22a-4944596161da","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"08b651ce-62c4-409b-b5d7-1289e5ae0233","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/neighbourhood/neighbourhood1.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:11:34.661397+00","2025-01-04 06:11:34.661397+00","2025-01-04 06:11:34.661397+00","{""eTag"":""\""2b15bd9ee5311d194b819865ed8ac5d9\"""",""size"":447093,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:11:35.000Z"",""contentLength"":447093,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""neighbourhood"",""neighbourhood1.jpg""]","065825bc-8c5d-4854-9a67-1988ed2f555c","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"f28b8099-d18d-4eb4-916a-f1620a150414","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/neighbourhood/neighbourhood3.jpeg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:11:36.28762+00","2025-01-04 06:11:36.28762+00","2025-01-04 06:11:36.28762+00","{""eTag"":""\""22f161128efdb0d503b53dc1ca2dc958\"""",""size"":593117,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:11:37.000Z"",""contentLength"":593117,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""neighbourhood"",""neighbourhood3.jpeg""]","37539405-a43b-4acd-a8b5-ea14ca7e97c0","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"cb1cea24-b4f1-4cec-86f6-49300fa26260","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/neighbourhood/neighbourhood2.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:13:01.72235+00","2025-01-04 06:13:01.72235+00","2025-01-04 06:13:01.72235+00","{""eTag"":""\""ece859172a5b3ccd0deb757844f18d9a\"""",""size"":288311,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:13:02.000Z"",""contentLength"":288311,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""neighbourhood"",""neighbourhood2.jpg""]","5961997f-8fd5-4941-afc8-9f8951761f98","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"9357585f-6549-426c-9262-7b01792ae973","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/footer/4247018-596532-1620x1080.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:13:22.678259+00","2025-01-04 06:13:22.678259+00","2025-01-04 06:13:22.678259+00","{""eTag"":""\""ad79062b66b23344941993f7b4649000\"""",""size"":471885,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:13:23.000Z"",""contentLength"":471885,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""footer"",""4247018-596532-1620x1080.jpg""]","81b44b07-138f-4847-b60f-61047ba70d6d","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"0e94504a-54bc-4b4f-bf5e-1b8c62408936","property-assets","144e229e-34c9-4fa9-bb16-cfdc0dd0937a/gallery/03.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-05 06:38:25.624741+00","2025-01-05 06:38:25.624741+00","2025-01-05 06:38:25.624741+00","{""eTag"":""\""d4fa804151f28de82edc1d12f99f19b6\"""",""size"":92240,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-05T06:38:26.000Z"",""contentLength"":92240,""httpStatusCode"":200}","[""144e229e-34c9-4fa9-bb16-cfdc0dd0937a"",""gallery"",""03.jpg""]","0f0df0a6-3784-45db-899e-79398ddead2b","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"699b5546-b41f-43bc-bcfe-9af0bdbf7a2a","property-assets","37b88698-ee26-434e-b088-083dfe2160c6/floorplan/floorplan2D.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-04 06:17:33.85016+00","2025-01-04 06:34:19.55291+00","2025-01-04 06:17:33.85016+00","{""eTag"":""\""06282388a027b5edc7daf26570bbeb37\"""",""size"":1202970,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-04T06:34:20.000Z"",""contentLength"":1202970,""httpStatusCode"":200}","[""37b88698-ee26-434e-b088-083dfe2160c6"",""floorplan"",""floorplan2D.jpg""]","7fcd36fa-4abe-4fcf-b7c9-89c02444038b","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"f015ba00-053f-4c9b-9498-75cb7c9d1a31","property-assets","144e229e-34c9-4fa9-bb16-cfdc0dd0937a/hero_video/155 Barnard Street + North Adelaide.mp4","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-05 06:38:07.915708+00","2025-01-05 06:38:07.915708+00","2025-01-05 06:38:07.915708+00","{""eTag"":""\""9bc9f47d95cbeb2d37a286a023611503-7\"""",""size"":36019272,""mimetype"":""video/mp4"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-05T06:38:07.000Z"",""contentLength"":36019272,""httpStatusCode"":200}","[""144e229e-34c9-4fa9-bb16-cfdc0dd0937a"",""hero_video"",""155 Barnard Street + North Adelaide.mp4""]","488a3bad-413b-40dd-ac92-345c4b7d5cf4","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
"df52738e-12cd-40b2-87bf-fc8099f4cf03","property-assets","144e229e-34c9-4fa9-bb16-cfdc0dd0937a/gallery/01.jpg","f8f49c14-4ccf-4564-81bd-53bc68dedd46","2025-01-05 06:38:23.664287+00","2025-01-05 06:38:23.664287+00","2025-01-05 06:38:23.664287+00","{""eTag"":""\""5040029bf085b741eb2524224d2f4110\"""",""size"":89836,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2025-01-05T06:38:24.000Z"",""contentLength"":89836,""httpStatusCode"":200}","[""144e229e-34c9-4fa9-bb16-cfdc0dd0937a"",""gallery"",""01.jpg""]","c089b55e-028e-4a20-8125-1467edfcf1a6","f8f49c14-4ccf-4564-81bd-53bc68dedd46","{}"
